"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","cogR","cogMch","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","cog_M_ch_bin","cog_Rb","cog_right_logic","cog_right","cog_number_right","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","Dumb_response","right_change","wrong1b","wrong2b"
33,51,0,"no tester","Completed (31)","2057151                     ",NA,6786,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"They're brother and sister                                                                                                                                                                                                                                    ","no harm mentioned","norms mentioned",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They are related to each other.                                                                                                                                                                                                                               ","tautological reason","changed","It's wrong but I can't think of a reason.",1,"1: Not at all",7,"9P8R2L7D                                                                                                                                                                                                                                                      ","Easy","Yes, I am able to believe this","No, I am not able to believe this","harm","5","5","6","7: Extremely",4,"No","No",4,6,5,3,3,3,6,5,5,5,6,4,4,6,5,5,6,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057131,2057132,2057133,205713","Flipped","Not flipped","HTML",NA,NA,"75acf5ae40e6348f6679b523e16a6473                                                                                                ","English","Not cleaned",1488278061,"2017-02-28 10:34:21           ","2017-02-28 12:27:27           ","0000-00-00 00:00:00           ","cog_load","wrong","wrong","wrong","wrong",5,7,7,4,5,5,6,5,4,93,0.166666666666667,"neutral","true","true","true","false","easy","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"unsupported declaration","reasons","wrong","wrong"
34,11,0,"no tester","Completed (31)","2065102                     ",NA,1186,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Established moral norms should not be violated for fun as they are set to protect society                                                                                                                                                                     ",6,"They are staying safe                                                                                                                                                                                                                                         ","no harm mentioned","norms not mentioned",6,"Yes","No","Unsure","Yes","No","Unsure","Yes","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"5",4,NA,NA,"No, I am not able to believe this","Yes, I am able to believe this","harm","5","1: Not at all","5","1: Not at all",7,"Yes","No",1,9,2,3,6,7,2,9,9,9,9,2,4,1,2,1,2,7,"Yes","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065054,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,206508","Not flipped","Not flipped","HTML",NA,NA,"94c889d6d01502ec1ea10d876a720a25                                                                                                ","English","Not cleaned",1488187619,"2017-02-27 09:26:59           ","2017-02-27 09:46:45           ","0000-00-00 00:00:00           ","control","right","right","not wrong","not wrong",8,7,4,8,1,1,8,9,8,103,0.722222222222222,"right","true","true","true","false","missing",NA,NA,"missing",0,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
35,17,0,"no tester","Completed (31)","2065102                     ",NA,978,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Doing something that may or may not harm others for personal amusement is wrong and unfair.                                                                                                                                                                   ",4,"I think that things can happen that you are not prepared for but when in that moment you forget about moral beliefs                                                                                                                                           ","no harm mentioned","norms not mentioned",5,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"2",7,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","4: neutral","3","1: Not at all",2,"No","No",2,1,6,3,2,2,5,6,6,6,5,1,1,5,5,6,1,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065089,206508","Not flipped","Not flipped","HTML",NA,NA,"f8def7cf280bd636d54413ef2f8edbc9                                                                                                ","English","Not cleaned",1488191950,"2017-02-27 10:39:10           ","2017-02-27 10:55:28           ","0000-00-00 00:00:00           ","control","neutral","neutral","not wrong","not wrong",4,7,8,5,4,4,9,4,9,86,-0.222222222222222,"wrong","true","true","true","false","missing",NA,NA,"missing",0,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","no reason","no reason","reason","unstated","unstated","no reason","no reason","reason",FALSE,"nothing wrong","nothing wrong",NA,NA
36,18,0,"no tester","Completed (31)","2065102                     ",NA,20847,NA,NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"they were both in an agreement that at that time it was something they wanted to do. however neither of them wanted it to be a long term thing. they also took the necessary steps to avoid any future problems                                               ","no harm mentioned","norms not mentioned",2,"Yes","No","Unsure","Yes","No","No, I have no reason","No","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"1: Not at all",2,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","3","2","4: neutral","6",6,"No","No",2,2,7,7,4,3,8,8,8,6,5,3,5,5,3,7,7,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065089,206508","Not flipped","Not flipped","HTML",NA,NA,"1fc071d655e77fef46c1a70b4dce9812                                                                                                ","English","Not cleaned",1488193027,"2017-02-27 10:57:07           ","2017-02-27 16:44:34           ","0000-00-00 00:00:00           ","control","right","right","not wrong","not wrong",3,3,6,2,2,2,7,3,3,68,-1.22222222222222,"right","true","true","true","false","missing",NA,NA,"missing",0,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,0,"unstated","unstated","no reason","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
37,20,0,"no tester","Completed (31)","2065102                     ",NA,11619,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"They both were involved in the decision of making love and both used precautionary methods to protect themselves.                                                                                                                                             ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",7,"1: Not at all",7,NA,NA,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all","7: Extremely","5",3,"No","No",6,7,4,4,2,7,7,9,4,6,8,1,4,6,6,1,4,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,206508","Not flipped","Not flipped","HTML",NA,NA,"528ae40a5c71f22ebfc28c3f36afda06                                                                                                ","English","Not cleaned",1488196496,"2017-02-27 11:54:56           ","2017-02-27 15:08:35           ","0000-00-00 00:00:00           ","control","right","right","not wrong","not wrong",6,6,8,3,1,6,9,9,6,111,1.16666666666667,"wrong","true","true","true","true","missing",NA,NA,"missing",0,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","right initially","not wrong","not wrong"
38,43,0,"no tester","Completed (31)","2065102                     ",NA,35993,NA,NA,"Yes","Male",27,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Until such things as 'casual racism' (or any other action which a person knows to be wrong) are stopped, even if no one is around to be affected by it, we cannot move forward as a society.                                                                  ",6,"It isn't an action where someone is or can be affected but themselves, it is the same as any consensual relationship or sexual act                                                                                                                            ","no harm mentioned","norms not mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"1: Not at all",7,NA,NA,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all","7: Extremely","4: neutral",6,"No","No",7,7,2,2,2,7,3,5,3,7,7,2,6,7,4,2,2,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065089,206508","Not flipped","Flipped","HTML",NA,NA,"96bfda53a048677852e418a722871a48                                                                                                ","English","Not cleaned",1488234393,"2017-02-27 22:26:33           ","2017-02-28 08:26:26           ","0000-00-00 00:00:00           ","control","right","right","not wrong","not wrong",8,8,8,7,5,7,8,8,8,126,2,"right","true","true","true","false","missing",NA,NA,"missing",0,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","right initially","not wrong","not wrong"
39,4,0,"no tester","Suspended (22)","2065101                     ",NA,1651,NA,NA,"Yes","Female",23,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","if you are to be a role model for others e.g your sister you should try to do the right thing in that situation. care not to hurt other people's feelings as a result of a decision you make is important.                                                    ",1,"just feel that it is wrong. if you were to advise another person you would say do not do this                                                                                                                                                                 ","no harm mentioned","norms not mentioned",3,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",4,"5",6,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","5","6","1: Not at all","6",1,"Yes","No",4,2,4,6,4,4,4,7,7,4,6,4,6,4,4,6,4,4,"Yes","Theology did module on morality                                                                                                                                                                                                                               ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065088,206508","Flipped","Flipped","HTML",NA,NA,"576ab5fc5628d9b2ed29cce1baf867cd                                                                                                ","English","Not cleaned",1486484238,"2017-02-07 16:17:18           ","2017-02-07 16:44:56           ","0000-00-00 00:00:00           ","control","wrong","neutral","wrong","not wrong",6,4,6,6,3,3,6,4,6,82,-0.444444444444445,"wrong","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","unstated","unstated","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong",NA
40,16,0,"no tester","Completed (31)","2065102                     ",NA,2194,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Because if it is a moral norm it is something you shouldnt be doing                                                                                                                                                                                           ",1,"Because they are related                                                                                                                                                                                                                                      ","no harm mentioned","norms mentioned",3,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",4,"5",3,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","6","6","3","7: Extremely",4,"No","No",6,3,6,6,7,3,8,8,6,7,9,3,6,5,4,7,1,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065088,206508","Flipped","Flipped","HTML",NA,NA,"68b8b191e723bb9f51430d3436313d96                                                                                                ","English","Not cleaned",1488191820,"2017-02-27 10:37:00           ","2017-02-27 11:13:34           ","0000-00-00 00:00:00           ","control","wrong","neutral","wrong","not wrong",4,4,3,2,2,4,7,3,9,90,0,"neutral","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong",NA
41,19,0,"no tester","Suspended (22)","2065101                     ",NA,2063,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is wrong because you cannot be certain no-one will be harmed, and the risk is not worth hurting someone just for fun or personal enjoyment.                                                                                                                ",1,"I think they were wrong because a relationship between brother and sister should not happen. I think they misjudged their feelings of closeness.                                                                                                              ","harm mentioned","norms mentioned",1,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",4,"5",1,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","5","1: Not at all","1: Not at all","7: Extremely",2,"No","No",3,7,1,1,3,1,3,6,6,6,6,6,3,3,6,6,3,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065088,206508","Not flipped","Not flipped","HTML",NA,NA,"85be3404503d2598d44857b777fe5846                                                                                                ","English","Not cleaned",1488194088,"2017-02-27 11:14:48           ","2017-02-27 11:49:14           ","0000-00-00 00:00:00           ","control","wrong","neutral","wrong","not wrong",9,9,7,7,4,4,4,4,7,96,0.333333333333333,"wrong","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong",NA
42,25,0,"no tester","Completed (31)","2065102                     ",NA,793,NA,NA,"Yes","Female",21,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"I read the start of the story wrong and did not realise they were related                                                                                                                                                                                     ","no harm mentioned","norms not mentioned",1,"Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",1,"1: Not at all",6,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","5","4: neutral","6",2,"No","No",4,6,6,5,6,2,6,6,7,5,5,4,4,4,4,7,5,6,"Yes","There was an ethics component to a course I have completed.                                                                                                                                                                                                   ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065088,2065089,206509","Flipped","Not flipped","HTML",NA,NA,"7c819bb873ab88134cb10bfede1649e0                                                                                                ","English","Not cleaned",1488208384,"2017-02-27 15:13:04           ","2017-02-27 15:26:18           ","0000-00-00 00:00:00           ","control","neutral","wrong","not wrong","wrong",4,5,4,4,4,3,6,3,5,78,-0.666666666666667,"wrong","true","true","true","false","missing",NA,NA,"missing",0,"not wrong","wrong","wrong","wrong","wrong","wrong",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,TRUE,1,"unstated","unstated","reason","reason","no reason","unstated","no reason","reason","reason",FALSE,"admission","dumbfounded",NA,"wrong"
43,29,0,"no tester","Completed (31)","2065102                     ",NA,63695,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","People do this without thinking and feel good while carrying out the violation, even if nobody is hurt. However if that person/persons was to stop in their tracks and think about what was carried out they would know it was wrong and would regret carrying",1,"They are brother and sister, they are family. How would siblings be attracted to each other in a sexual way?                                                                                                                                                  ","no harm mentioned","norms mentioned",2,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",1,"1: Not at all",1,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","6","1: Not at all","7: Extremely",4,"No","No",5,2,6,6,6,6,6,4,7,2,2,8,4,4,6,6,6,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065088,206508","Not flipped","Flipped","HTML",NA,NA,"f1a33c4d72cb244f6388ae0cf31abf23                                                                                                ","English","Not cleaned",1488214004,"2017-02-27 16:46:44           ","2017-02-28 10:28:19           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",4,4,4,4,6,3,2,4,4,72,-1,"neutral","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
44,51,0,"no tester","Completed (31)","2065102                     ",NA,4174,NA,NA,"Yes","Female",24,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating a moral norm i feel is always wrong as you are going against your own beliefs.                                                                                                                                                                      ",1,"They are brother and sister and siblings should not engage in any sexual relations. Also keeping the secret they know themselves that they have done something wrong, they said they would not do it again therefore again knowing that it was wrong to do so ","no harm mentioned","norms mentioned",5,"No","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",2,"2",4,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","6","4: neutral","3","7: Extremely",1,"No","No",5,7,3,3,6,4,4,9,8,7,6,4,4,4,6,4,4,4,"Yes","Ethics and religions and beliefs. Currently on this course                                                                                                                                                                                                    ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,206508","Flipped","Not flipped","HTML",NA,NA,"8a552c1dc3f5af5d4af9e993e5ed0696                                                                                                ","English","Not cleaned",1488285322,"2017-02-28 12:35:22           ","2017-02-28 13:44:56           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",7,7,4,6,1,2,6,6,6,92,0.111111111111111,"wrong","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
45,53,0,"no tester","Completed (31)","2065102                     ",NA,3413,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"morally wrong as they are brother and sister, if a child had been conceived it would be in danger                                                                                                                                                             ","harm mentioned","norms mentioned",4,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","No","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.",3,"5",4,NA,NA,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","3","4: neutral","4: neutral",3,"No","No",7,7,4,4,4,6,6,4,6,7,7,4,5,7,6,6,4,7,"Yes","college module that covered ethics                                                                                                                                                                                                                            ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065082,2065083,2065084,2065087,2065089,206508","Flipped","Flipped","HTML",NA,NA,"cd7b0320f9bde8a7adc9aef61d8dc4ee                                                                                                ","English","Not cleaned",1488285756,"2017-02-28 12:42:36           ","2017-02-28 13:39:29           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",6,6,6,4,6,4,6,4,6,107,0.944444444444445,"wrong","true","true","true","true","missing",NA,NA,"missing",0,"wrong","wrong","wrong","not wrong","wrong","wrong",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","unstated","unstated","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,"admission","dumbfounded","wrong","wrong"
46,7,0,"no tester","Completed (31)","2065102                     ",NA,12057,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","you shouldn't do something just for the fun of it                                                                                                                                                                                                             ",1,"their brother and sister its illegal                                                                                                                                                                                                                          ","no harm mentioned","norms mentioned",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","their related they shouldn't have done it                                                                                                                                                                                                                     ","unsupported declaration + tautological reason","changed","It's wrong but I can't think of a reason.",1,"1: Not at all",7,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","7: Extremely confused","7: Extremely","7: Extremely",5,"No","No",5,6,4,4,3,6,3,2,5,7,7,3,6,8,7,6,5,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,206508","Flipped","Flipped","HTML",NA,NA,"8872ea710ea07d3417b6df13d01f47b9                                                                                                ","English","Not cleaned",1486544824,"2017-02-08 09:07:04           ","2017-02-08 12:28:01           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",6,6,7,7,8,5,7,4,5,115,1.38888888888889,"right","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"unsupported declaration","reasons","wrong","wrong"
